x	y	showSelected1	group
-0.94143178827	0.25769803776	25	-1
-0.847288609443	0.206158430208	25	-1
-0.7625597484987	0.1649267441664	25	-1
-0.68630377364883	0.13194139533312	25	-1
-0.617673396283947	0.105553116266496	25	-1
-0.555906056655552	0.0844424930131968	25	-1
-0.500315450989997	0.0675539944105575	25	-1
-0.450283905890997	0.054043195528446	25	-1
-0.405255515301898	0.0432345564227568	25	-1
-0.364729963771708	0.0345876451382054	25	-1
-0.328256967394537	0.0276701161105643	25	-1
-0.295431270655083	0.0221360928884515	25	-1
-0.265888143589575	0.0177088743107612	25	-1
-0.239299329230618	0.0141670994486089	25	-1
-3	3	26	-1
-2.7	2.4	26	-1
-2.43	1.92	26	-1
-2.187	1.536	26	-1
-1.9683	1.2288	26	-1
-1.77147	0.98304	26	-1
-1.594323	0.786432	26	-1
-1.4348907	0.6291456	26	-1
-1.29140163	0.50331648	26	-1
-1.162261467	0.402653184	26	-1
-1.0460353203	0.3221225472	26	-1
-0.94143178827	0.25769803776	26	-1
-0.847288609443	0.206158430208	26	-1
-0.7625597484987	0.1649267441664	26	-1
-0.68630377364883	0.13194139533312	26	-1
-0.617673396283947	0.105553116266496	26	-1
-0.555906056655552	0.0844424930131968	26	-1
-0.500315450989997	0.0675539944105575	26	-1
-0.450283905890997	0.054043195528446	26	-1
-0.405255515301898	0.0432345564227568	26	-1
-0.364729963771708	0.0345876451382054	26	-1
-0.328256967394537	0.0276701161105643	26	-1
-0.295431270655083	0.0221360928884515	26	-1
-0.265888143589575	0.0177088743107612	26	-1
-0.239299329230618	0.0141670994486089	26	-1
-0.215369396307556	0.0113336795588872	26	-1
-3	3	27	-1
-2.7	2.4	27	-1
-2.43	1.92	27	-1
-2.187	1.536	27	-1
-1.9683	1.2288	27	-1
-1.77147	0.98304	27	-1
-1.594323	0.786432	27	-1
-1.4348907	0.6291456	27	-1
-1.29140163	0.50331648	27	-1
-1.162261467	0.402653184	27	-1
-1.0460353203	0.3221225472	27	-1
-0.94143178827	0.25769803776	27	-1
-0.847288609443	0.206158430208	27	-1
-0.7625597484987	0.1649267441664	27	-1
-0.68630377364883	0.13194139533312	27	-1
-0.617673396283947	0.105553116266496	27	-1
-0.555906056655552	0.0844424930131968	27	-1
-0.500315450989997	0.0675539944105575	27	-1
-0.450283905890997	0.054043195528446	27	-1
-0.405255515301898	0.0432345564227568	27	-1
-0.364729963771708	0.0345876451382054	27	-1
-0.328256967394537	0.0276701161105643	27	-1
-0.295431270655083	0.0221360928884515	27	-1
-0.265888143589575	0.0177088743107612	27	-1
-0.239299329230618	0.0141670994486089	27	-1
-0.215369396307556	0.0113336795588872	27	-1
-0.1938324566768	0.00906694364710972	27	-1
-3	3	28	-1
-2.7	2.4	28	-1
-2.43	1.92	28	-1
-2.187	1.536	28	-1
-1.9683	1.2288	28	-1
-1.77147	0.98304	28	-1
-1.594323	0.786432	28	-1
-1.4348907	0.6291456	28	-1
-1.29140163	0.50331648	28	-1
-1.162261467	0.402653184	28	-1
-1.0460353203	0.3221225472	28	-1
-0.94143178827	0.25769803776	28	-1
-0.847288609443	0.206158430208	28	-1
-0.7625597484987	0.1649267441664	28	-1
-0.68630377364883	0.13194139533312	28	-1
-0.617673396283947	0.105553116266496	28	-1
-0.555906056655552	0.0844424930131968	28	-1
-0.500315450989997	0.0675539944105575	28	-1
-0.450283905890997	0.054043195528446	28	-1
-0.405255515301898	0.0432345564227568	28	-1
