x	y	showSelected1
-0.1938324566768	0.00906694364710972	27
-3	3	28
-2.7	2.4	28
-2.43	1.92	28
-2.187	1.536	28
-1.9683	1.2288	28
-1.77147	0.98304	28
-1.594323	0.786432	28
-1.4348907	0.6291456	28
-1.29140163	0.50331648	28
-1.162261467	0.402653184	28
-1.0460353203	0.3221225472	28
-0.94143178827	0.25769803776	28
-0.847288609443	0.206158430208	28
-0.7625597484987	0.1649267441664	28
-0.68630377364883	0.13194139533312	28
-0.617673396283947	0.105553116266496	28
-0.555906056655552	0.0844424930131968	28
-0.500315450989997	0.0675539944105575	28
-0.450283905890997	0.054043195528446	28
-0.405255515301898	0.0432345564227568	28
-0.364729963771708	0.0345876451382054	28
-0.328256967394537	0.0276701161105643	28
-0.295431270655083	0.0221360928884515	28
-0.265888143589575	0.0177088743107612	28
-0.239299329230618	0.0141670994486089	28
-0.215369396307556	0.0113336795588872	28
-0.1938324566768	0.00906694364710972	28
-0.17444921100912	0.00725355491768778	28
-3	3	29
-2.7	2.4	29
-2.43	1.92	29
-2.187	1.536	29
-1.9683	1.2288	29
-1.77147	0.98304	29
-1.594323	0.786432	29
-1.4348907	0.6291456	29
-1.29140163	0.50331648	29
-1.162261467	0.402653184	29
-1.0460353203	0.3221225472	29
-0.94143178827	0.25769803776	29
-0.847288609443	0.206158430208	29
-0.7625597484987	0.1649267441664	29
-0.68630377364883	0.13194139533312	29
-0.617673396283947	0.105553116266496	29
-0.555906056655552	0.0844424930131968	29
-0.500315450989997	0.0675539944105575	29
-0.450283905890997	0.054043195528446	29
-0.405255515301898	0.0432345564227568	29
-0.364729963771708	0.0345876451382054	29
-0.328256967394537	0.0276701161105643	29
-0.295431270655083	0.0221360928884515	29
-0.265888143589575	0.0177088743107612	29
-0.239299329230618	0.0141670994486089	29
-0.215369396307556	0.0113336795588872	29
-0.1938324566768	0.00906694364710972	29
-0.17444921100912	0.00725355491768778	29
-0.157004289908208	0.00580284393415022	29
-3	3	30
-2.7	2.4	30
-2.43	1.92	30
-2.187	1.536	30
-1.9683	1.2288	30
-1.77147	0.98304	30
-1.594323	0.786432	30
-1.4348907	0.6291456	30
-1.29140163	0.50331648	30
-1.162261467	0.402653184	30
-1.0460353203	0.3221225472	30
-0.94143178827	0.25769803776	30
-0.847288609443	0.206158430208	30
-0.7625597484987	0.1649267441664	30
-0.68630377364883	0.13194139533312	30
-0.617673396283947	0.105553116266496	30
-0.555906056655552	0.0844424930131968	30
-0.500315450989997	0.0675539944105575	30
-0.450283905890997	0.054043195528446	30
-0.405255515301898	0.0432345564227568	30
-0.364729963771708	0.0345876451382054	30
-0.328256967394537	0.0276701161105643	30
-0.295431270655083	0.0221360928884515	30
-0.265888143589575	0.0177088743107612	30
-0.239299329230618	0.0141670994486089	30
-0.215369396307556	0.0113336795588872	30
-0.1938324566768	0.00906694364710972	30
-0.17444921100912	0.00725355491768778	30
-0.157004289908208	0.00580284393415022	30
-0.141303860917387	0.00464227514732018	30
-3	3	31
-2.7	2.4	31
-2.43	1.92	31
-2.187	1.536	31
-1.9683	1.2288	31
-1.77147	0.98304	31
-1.594323	0.786432	31
-1.4348907	0.6291456	31
-1.29140163	0.50331648	31
-1.162261467	0.402653184	31
-1.0460353203	0.3221225472	31
-0.94143178827	0.25769803776	31
-0.847288609443	0.206158430208	31
-0.7625597484987	0.1649267441664	31
-0.68630377364883	0.13194139533312	31
-0.617673396283947	0.105553116266496	31
-0.555906056655552	0.0844424930131968	31
-0.500315450989997	0.0675539944105575	31
-0.450283905890997	0.054043195528446	31
-0.405255515301898	0.0432345564227568	31
-0.364729963771708	0.0345876451382054	31
-0.328256967394537	0.0276701161105643	31
-0.295431270655083	0.0221360928884515	31
-0.265888143589575	0.0177088743107612	31
-0.239299329230618	0.0141670994486089	31
-0.215369396307556	0.0113336795588872	31
-0.1938324566768	0.00906694364710972	31
-0.17444921100912	0.00725355491768778	31
-0.157004289908208	0.00580284393415022	31
-0.141303860917387	0.00464227514732018	31
-0.127173474825649	0.00371382011785614	31
-3	3	32
-2.7	2.4	32
-2.43	1.92	32
-2.187	1.536	32
-1.9683	1.2288	32
-1.77147	0.98304	32
-1.594323	0.786432	32
-1.4348907	0.6291456	32
-1.29140163	0.50331648	32
-1.162261467	0.402653184	32
-1.0460353203	0.3221225472	32
-0.94143178827	0.25769803776	32
-0.847288609443	0.206158430208	32
-0.7625597484987	0.1649267441664	32
-0.68630377364883	0.13194139533312	32
-0.617673396283947	0.105553116266496	32
-0.555906056655552	0.0844424930131968	32
-0.500315450989997	0.0675539944105575	32
-0.450283905890997	0.054043195528446	32
-0.405255515301898	0.0432345564227568	32
-0.364729963771708	0.0345876451382054	32
-0.328256967394537	0.0276701161105643	32
-0.295431270655083	0.0221360928884515	32
-0.265888143589575	0.0177088743107612	32
-0.239299329230618	0.0141670994486089	32
-0.215369396307556	0.0113336795588872	32
-0.1938324566768	0.00906694364710972	32
-0.17444921100912	0.00725355491768778	32
-0.157004289908208	0.00580284393415022	32
-0.141303860917387	0.00464227514732018	32
-0.127173474825649	0.00371382011785614	32
-0.114456127343084	0.00297105609428491	32
-3	3	33
-2.7	2.4	33
-2.43	1.92	33
-2.187	1.536	33
-1.9683	1.2288	33
-1.77147	0.98304	33
-1.594323	0.786432	33
-1.4348907	0.6291456	33
-1.29140163	0.50331648	33
-1.162261467	0.402653184	33
-1.0460353203	0.3221225472	33
-0.94143178827	0.25769803776	33
-0.847288609443	0.206158430208	33
-0.7625597484987	0.1649267441664	33
-0.68630377364883	0.13194139533312	33
-0.617673396283947	0.105553116266496	33
-0.555906056655552	0.0844424930131968	33
-0.500315450989997	0.0675539944105575	33
-0.450283905890997	0.054043195528446	33
-0.405255515301898	0.0432345564227568	33
-0.364729963771708	0.0345876451382054	33
-0.328256967394537	0.0276701161105643	33
-0.295431270655083	0.0221360928884515	33
-0.265888143589575	0.0177088743107612	33
-0.239299329230618	0.0141670994486089	33
-0.215369396307556	0.0113336795588872	33
-0.1938324566768	0.00906694364710972	33
-0.17444921100912	0.00725355491768778	33
-0.157004289908208	0.00580284393415022	33
-0.141303860917387	0.00464227514732018	33
-0.127173474825649	0.00371382011785614	33
-0.114456127343084	0.00297105609428491	33
-0.103010514608775	0.00237684487542793	33
-3	3	34
-2.7	2.4	34
-2.43	1.92	34
-2.187	1.536	34
-1.9683	1.2288	34
-1.77147	0.98304	34
-1.594323	0.786432	34
-1.4348907	0.6291456	34
-1.29140163	0.50331648	34
-1.162261467	0.402653184	34
-1.0460353203	0.3221225472	34
-0.94143178827	0.25769803776	34
-0.847288609443	0.206158430208	34
-0.7625597484987	0.1649267441664	34
-0.68630377364883	0.13194139533312	34
-0.617673396283947	0.105553116266496	34
-0.555906056655552	0.0844424930131968	34
-0.500315450989997	0.0675539944105575	34
-0.450283905890997	0.054043195528446	34
-0.405255515301898	0.0432345564227568	34
-0.364729963771708	0.0345876451382054	34
