colour	order	level	x	y	piece	group
#1D3F5E	6	6	1.28571428571429	1.47300170068027	3	-1-003
#1D3F5E	6	6	1.40816326530612	1.41687925170068	3	-1-003
#1D3F5E	6	6	1.42559523809524	1.40816326530612	3	-1-003
#1D3F5E	6	6	1.53061224489796	1.35088126159555	3	-1-003
#1D3F5E	6	6	1.64089481946625	1.28571428571429	3	-1-003
#1D3F5E	6	6	1.6530612244898	1.27780612244898	3	-1-003
#1D3F5E	6	6	1.77551020408163	1.19209183673469	3	-1-003
#1D3F5E	6	6	1.81394557823129	1.16326530612245	3	-1-003
#1D3F5E	6	6	1.89795918367347	1.09325396825397	3	-1-003
#1D3F5E	6	6	1.95695153061225	1.04081632653061	3	-1-003
#1D3F5E	6	6	2.02040816326531	0.977359693877551	3	-1-003
#1D3F5E	6	6	2.07593037214886	0.918367346938775	3	-1-003
#1D3F5E	6	6	2.14285714285714	0.837099125364432	3	-1-003
#1D3F5E	6	6	2.17488662131519	0.795918367346939	3	-1-003
#1D3F5E	6	6	2.25651927437642	0.673469387755102	3	-1-003
#1D3F5E	6	6	2.26530612244898	0.65765306122449	3	-1-003
#1D3F5E	6	6	2.32142857142857	0.551020408163265	3	-1-003
#1D3F5E	6	6	2.37298603651987	0.428571428571428	3	-1-003
#1D3F5E	6	6	2.38775510204082	0.381802721088436	3	-1-003
#1D3F5E	6	6	2.41045918367347	0.306122448979592	3	-1-003
#1D3F5E	6	6	2.43494897959184	0.183673469387755	3	-1-003
#1D3F5E	6	6	2.44719387755102	0.0612244897959182	3	-1-003
#1D3F5E	6	6	2.44719387755102	-0.0612244897959187	3	-1-003
#1D3F5E	6	6	2.43494897959184	-0.183673469387755	3	-1-003
#1D3F5E	6	6	2.41045918367347	-0.306122448979592	3	-1-003
#1D3F5E	6	6	2.38775510204082	-0.381802721088436	3	-1-003
#1D3F5E	6	6	2.37298603651987	-0.428571428571429	3	-1-003
#1D3F5E	6	6	2.32142857142857	-0.551020408163265	3	-1-003
#1D3F5E	6	6	2.26530612244898	-0.65765306122449	3	-1-003
#1D3F5E	6	6	2.25651927437642	-0.673469387755102	3	-1-003
#1D3F5E	6	6	2.17488662131519	-0.795918367346939	3	-1-003
#1D3F5E	6	6	2.14285714285714	-0.837099125364432	3	-1-003
#1D3F5E	6	6	2.07593037214886	-0.918367346938775	3	-1-003
#1D3F5E	6	6	2.02040816326531	-0.977359693877551	3	-1-003
#1D3F5E	6	6	1.95695153061224	-1.04081632653061	3	-1-003
#1D3F5E	6	6	1.89795918367347	-1.09325396825397	3	-1-003
#1D3F5E	6	6	1.81394557823129	-1.16326530612245	3	-1-003
#1D3F5E	6	6	1.77551020408163	-1.19209183673469	3	-1-003
#1D3F5E	6	6	1.6530612244898	-1.27780612244898	3	-1-003
#1D3F5E	6	6	1.64089481946625	-1.28571428571429	3	-1-003
#1D3F5E	6	6	1.53061224489796	-1.35088126159555	3	-1-003
#1D3F5E	6	6	1.42559523809524	-1.40816326530612	3	-1-003
#1D3F5E	6	6	1.40816326530612	-1.41687925170068	3	-1-003
#1D3F5E	6	6	1.28571428571429	-1.47300170068027	3	-1-003
#1D3F5E	6	6	1.16326530612245	-1.52402210884354	3	-1-003
#1D3F5E	6	6	1.14569160997732	-1.53061224489796	3	-1-003
#1D3F5E	6	6	1.04081632653061	-1.56691522762951	3	-1-003
#1D3F5E	6	6	0.918367346938775	-1.60459183673469	3	-1-003
#1D3F5E	6	6	0.795918367346939	-1.63755886970173	3	-1-003
#1D3F5E	6	6	0.728741496598639	-1.6530612244898	3	-1-003
#1D3F5E	6	6	0.673469387755102	-1.66490524781341	3	-1-003
